"x","y","n","distinct sides","Elapsed Time (ms)"
1280,128,100,165,81
1280,256,100,178,169
1280,384,100,172,251
1280,512,100,176,329
1280,640,100,181,416
1280,768,100,176,475
1280,896,100,186,548
1280,1024,100,185,578
1280,1152,100,191,590
1280,1280,100,189,544
1280,1408,100,185,666
1280,1536,100,189,803
1280,1664,100,188,840
1280,1792,100,186,1072
1280,1920,100,192,1273
1280,2048,100,190,1373
1280,2176,100,181,1497
1280,2304,100,183,1551
1280,2432,100,189,1728
1280,2560,100,189,2091
1280,2688,100,189,2107
1280,2816,100,199,2199
1280,2944,100,193,2438
1280,3072,100,193,2728
1280,3200,100,195,2909
1280,3328,100,195,2934
1280,3456,100,195,3199
1280,3584,100,195,3459
1280,3712,100,193,3332
1280,3840,100,192,3499
1280,3968,100,194,3737
1280,4096,100,190,3808
1280,4224,100,197,4119
1280,4352,100,191,4589
1280,4480,100,195,4618
1280,4608,100,194,4603
1280,4736,100,196,4819
1280,4864,100,197,5090
1280,4992,100,191,5118
1280,5120,100,196,5439
1280,5248,100,198,5797
1280,5376,100,194,5556
1280,5504,100,195,5959
1280,5632,100,197,6285
1280,5760,100,191,6473
1280,5888,100,195,6233
1280,6016,100,193,6739
1280,6144,100,193,6785
1280,6272,100,198,6465
1280,6400,100,195,7465
1280,6528,100,197,7971
1280,6656,100,197,8037
1280,6784,100,197,8017
1280,6912,100,192,7946
1280,7040,100,192,8420
1280,7168,100,198,8114
1280,7296,100,193,8790
1280,7424,100,194,8527
1280,7552,100,199,9294
1280,7680,100,197,8976
1280,7808,100,193,8722
1280,7936,100,197,9673
1280,8064,100,194,9764
1280,8192,100,188,9412
1408,128,100,167,90
1408,256,100,178,194
1408,384,100,183,290
1408,512,100,188,394
1408,640,100,182,445
1408,768,100,187,553
1408,896,100,180,616
1408,1024,100,187,649
1408,1152,100,182,671
1408,1280,100,186,721
1408,1408,100,186,638
1408,1536,100,189,715
1408,1664,100,188,953
1408,1792,100,184,1050
1408,1920,100,191,1208
1408,2048,100,191,1435
1408,2176,100,192,1733
1408,2304,100,185,1591
1408,2432,100,192,2068
1408,2560,100,193,2064
1408,2688,100,191,2281
1408,2816,100,191,2448
1408,2944,100,190,2714
1408,3072,100,195,2918
1408,3200,100,192,3153
1408,3328,100,190,3190
1408,3456,100,195,3486
1408,3584,100,198,3692
1408,3712,100,191,3916
1408,3840,100,192,3963
1408,3968,100,190,4253
1408,4096,100,195,4180
1408,4224,100,194,4537
1408,4352,100,195,4596
1408,4480,100,192,4902
1408,4608,100,193,5209
1408,4736,100,194,5252
1408,4864,100,196,5653
1408,4992,100,197,6008
1408,5120,100,195,6085
1408,5248,100,195,6113
1408,5376,100,194,6540
1408,5504,100,197,6643
1408,5632,100,193,6534
1408,5760,100,197,6707
1408,5888,100,194,7328
1408,6016,100,191,7634
1408,6144,100,192,7865
1408,6272,100,195,7795
1408,6400,100,195,8292
1408,6528,100,196,8553
1408,6656,100,195,8347
1408,6784,100,194,9093
1408,6912,100,189,8905
1408,7040,100,192,9105
1408,7168,100,193,9010
1408,7296,100,196,9702
1408,7424,100,191,9532
1408,7552,100,195,10246
1408,7680,100,197,9753
1408,7808,100,196,10490
1408,7936,100,196,10959
1408,8064,100,191,10264
1408,8192,100,194,11188
1536,128,100,169,104
1536,256,100,178,222
1536,384,100,178,320
1536,512,100,183,423
1536,640,100,185,563
1536,768,100,186,664
1536,896,100,183,757
1536,1024,100,181,788
1536,1152,100,181,815
1536,1280,100,183,807
1536,1408,100,181,775
1536,1536,100,186,799
1536,1664,100,190,906
1536,1792,100,187,1061
1536,1920,100,192,1271
1536,2048,100,189,1474
1536,2176,100,191,1589
1536,2304,100,189,1958
1536,2432,100,187,2149
1536,2560,100,186,2208
1536,2688,100,185,2427
1536,2816,100,193,2758
1536,2944,100,189,2791
1536,3072,100,189,3207
1536,3200,100,191,3328
1536,3328,100,190,3588
1536,3456,100,189,3768
1536,3584,100,197,4003
1536,3712,100,195,4449
1536,3840,100,194,4372
1536,3968,100,194,4719
1536,4096,100,188,4646
1536,4224,100,192,5145
1536,4352,100,198,5180
1536,4480,100,188,5224
1536,4608,100,191,5672
1536,4736,100,193,6237
1536,4864,100,190,5870
1536,4992,100,191,6556
1536,5120,100,197,6466
1536,5248,100,194,6620
1536,5376,100,197,6862
1536,5504,100,196,7251
1536,5632,100,197,7817
1536,5760,100,196,8027
1536,5888,100,197,8169
1536,6016,100,191,7843
1536,6144,100,196,7937
1536,6272,100,198,8772
1536,6400,100,195,8682
1536,6528,100,193,9350
1536,6656,100,192,9573
1536,6784,100,192,9819
1536,6912,100,193,9991
1536,7040,100,195,10259
1536,7168,100,195,10681
1536,7296,100,191,10468
1536,7424,100,196,10911
1536,7552,100,194,10651
1536,7680,100,193,11363
1536,7808,100,195,11626
1536,7936,100,195,12069
1536,8064,100,196,12002
1536,8192,100,198,12758
1664,128,100,160,101
1664,256,100,173,227
1664,384,100,178,363
1664,512,100,186,486
1664,640,100,184,591
1664,768,100,190,692
1664,896,100,185,782
1664,1024,100,188,914
1664,1152,100,187,935
1664,1280,100,188,1016
1664,1408,100,189,1050
1664,1536,100,185,952
1664,1664,100,185,873
1664,1792,100,190,1105
1664,1920,100,191,1197
1664,2048,100,189,1540
1664,2176,100,190,1834
1664,2304,100,187,1995
1664,2432,100,190,2131
1664,2560,100,189,2443
1664,2688,100,195,2803
1664,2816,100,195,2870
1664,2944,100,195,3268
1664,3072,100,191,3292
1664,3200,100,193,3679
1664,3328,100,192,3872
1664,3456,100,195,4028
1664,3584,100,198,4498
1664,3712,100,195,4649
1664,3840,100,195,4741
1664,3968,100,193,5092
1664,4096,100,197,5364
1664,4224,100,195,5677
1664,4352,100,196,5712
1664,4480,100,197,6219
1664,4608,100,195,6408
1664,4736,100,192,6439
1664,4864,100,194,6921
1664,4992,100,192,7561
1664,5120,100,193,7420
1664,5248,100,193,7156
1664,5376,100,195,8084
1664,5504,100,196,7890
1664,5632,100,196,8498
1664,5760,100,196,9270
1664,5888,100,191,8416
1664,6016,100,197,9049
1664,6144,100,198,9014
1664,6272,100,197,9410
1664,6400,100,193,9752
1664,6528,100,193,10001
1664,6656,100,196,10180
1664,6784,100,199,10741
1664,6912,100,195,11020
1664,7040,100,194,11117
1664,7168,100,195,10948
1664,7296,100,196,11616
1664,7424,100,195,11943
1664,7552,100,195,12136
1664,7680,100,199,12034
1664,7808,100,193,13025
1664,7936,100,197,12884
1664,8064,100,198,13478
1664,8192,100,193,13882
1792,128,100,163,113
1792,256,100,173,239
1792,384,100,182,377
1792,512,100,181,506
1792,640,100,186,664
1792,768,100,184,804
1792,896,100,182,914
1792,1024,100,184,993
1792,1152,100,192,1089
1792,1280,100,188,1211
1792,1408,100,188,1261
1792,1536,100,192,1165
1792,1664,100,192,1153
1792,1792,100,188,1079
1792,1920,100,192,1388
1792,2048,100,186,1391
1792,2176,100,193,1738
1792,2304,100,194,2053
1792,2432,100,193,2356
1792,2560,100,189,2501
1792,2688,100,195,2912
1792,2816,100,195,3000
1792,2944,100,190,3499
1792,3072,100,192,3568
1792,3200,100,196,3915
1792,3328,100,198,4200
1792,3456,100,197,4279
1792,3584,100,196,4663
1792,3712,100,191,4972
1792,3840,100,196,5278
1792,3968,100,195,5183
1792,4096,100,192,5681
1792,4224,100,198,6284
1792,4352,100,189,6111
1792,4480,100,195,6286
1792,4608,100,195,6744
1792,4736,100,192,7211
1792,4864,100,195,7636
1792,4992,100,193,6883
1792,5120,100,195,7925
1792,5248,100,191,7657
1792,5376,100,197,8229
1792,5504,100,198,8959
1792,5632,100,194,8832
1792,5760,100,192,8917
1792,5888,100,197,9661
1792,6016,100,191,9965
1792,6144,100,199,9929
1792,6272,100,196,10607
1792,6400,100,198,10475
1792,6528,100,197,10677
1792,6656,100,199,11442
1792,6784,100,194,11267
1792,6912,100,193,11721
